family,sample_name
7ev3n,003a903cbab3e91ef22602624645342e81b30ec6263f1e62165abd479c48942e
7ev3n,00b4e13fd8eaae74e4244919a2301ee56599a6f3b4863a7f6a2a40564c65409d
7ev3n,017e81d374339f5dde973a169f31a1a52657b734c1af1ff54487b38865dae564
7ev3n,60c40e0dc89b80fde7a47c6ad002cf4b8ff7bdc07c744cb125c2afdceb79f8a9
Conti,004ede55a972e10d9a21bcf338b4907d6eed65bf5ad6abbbd5aec7d8484bdedf
Conti,03597628e999d791f4cc442328024235db9a929467a62ef0a00c91a76161f0e1
Conti,03b9c7a3b73f15dfc2dcb0b74f3e971fdda7d1d1e2010c6d1861043f90a2fecd
Conti,040fcbd360c7498756519cb0e687120bd623da80784034ea89178409491b1c44
Conti,0460cfa76fb0a02be92b0bc99a09168ebe38dbc8eeb1aa966dca66f0e849b53d
Conti,04bf10cd8186fa18bdec9948ae88099dd86ef444af46b20b444b351929a8f71b
Conti,0aaacd11d8b956d317489d060e72946d28ab6aef9be1b541aff9904a750f4b51
Conti,0b0b902af452e1c949a609a3b29a9de21dac639846c77427de06e6e63c1fe904
Conti,0fd062f86151b9d49d65b8f12c52737600bff8bb3462aba7bf23d820bf4d5518
Conti,1125cdabe2e146734ffc13137f23901377509408c4531ea17fcb99d6666815f0
Conti,198667b1eda010a431dfb051a101cc73ead1d45ba8d0f6641ec1c14bca4106f3
Conti,1c4da8bf2089e82a1665f7ac350eeea291dae7509d58dbfc2037ddc1997bfd13
Conti,1ee0bbfe78f6da5eea5e4aad6992cfcfe3aa824584c04aa3fba5a0d9c605b997
Conti,1fa52ca9e2fbb3b80e63b6cbfc776bf1c14d434afe50167a4b11ffdbe1987b79
Conti,259eba04b9141fd6af0763f9c3f4dd0f114bff3d4bc52573962ba7ef923369c2
Conti,2d61e25b007c15e20c3269cccfc4f3986493ac2f5fa7ee627c7a9059109f664e
Conti,3995502a85cc12c6962740989c4fb800d514bdf2ec667fdb7e4c8206adca0235
Conti,3ab3c4ffcf366dcbe660506295dcef82d058cb25b1c0b362cc62371a19a0d5f8
Conti,4d8e709832dc3b6cc9283dc2c79eac0d9a4092b1a3b180d7cc7ec6902b7a128c
Conti,58e3640032796983185ef3ce07d0fbce620514a73909d8573f72264a57ac8379
Conti,5c278c04bb19196dc8559d45b9728b3ba0c1bc5cdd20a766f56248e561c6f5a6
Conti,5cf0a6ac9786638a063eea9ab68508f31e537072bbcea27371f9121d2668a251
Conti,5f3ae6e0d2e118ed31e7c38b652f4e59f5d5745398596c8b31248eda059778af
Emotet,0041d82cc2a5bb2f447f9c40989292675232cb8404bbfa751c9b961e2f6149c7
Emotet,16d49fe1650534337de859aeadf586d111a694d23f97603469c9af3c3b091334
SugarRansomware,0125d8e744bb40ee8bf74beb9c43eb4ffc4e5217cf80a1843f8d19dfb888ad68
SugarRansomware,089cc9981931e492dfea30fdbdb9381db2f3467208192179983c7520d53b690b
SugarRansomware,0a38130da830fc1b164e963894fb869b5aa8b225fb4ffab730c7e08dabe5bb10
SugarRansomware,0bdb3a563c28d818d5b6cc3057d60878283ac28bffff9954449b2384b68e60b6
SugarRansomware,17ff726d5a5a2e37b987bf6ca770c4a1eea07f673c944f98c7bb0f1ce1a568cf
SugarRansomware,18460fc0ce1eb78283bfd4d1db75c06047c77e68c8c5c0f4018fc4d874dd8c95
SugarRansomware,21556bd1152e3c5ab1884159a1520c5c6bf27f6d1395345d5537c56e18584d6d
SugarRansomware,4a97bc8111631795cb730dfe7836d0afac3131ed8a91db81dde5062bb8021058
SugarRansomware,51bcd76a4103a5960cc8108ca014a37f5761a60894c7244c2e5dcf87eacafa23
SugarRansomware,5e3dd0fc6c12e4a1e993a1de85f065cd02dffbede2bc1750ef91ab3f1ad76291
